review_description,rating
Food was delicious and fresh,5
Delivery was late by 30 minutes and the food was cold,1
Driver was polite but the packaging was damaged,2
The chicken tikka masala was spicy and full of flavor,5
Order was wrong and took an hour to deliver,1
Great taste and good portions,4
Food was cold when it arrived after an hour delay,2
The quality of the paneer was excellent,5
The food was good but the delivery was very slow,3
The delivery person was rude and the package was broken,1
Worst taste I have ever experienced,1
Quick delivery and the pizza was hot,5
The dish was raw and not properly cooked,1
Delivery speed was terrible, took 90 minutes,1
Fantastic menu options and fresh ingredients,5
Food poisoning due to bad quality,1
Late delivery, cold food and wrong item delivered,1
The texture of the mutton was perfect,5
Excellent value for money,5
Missing cutlery, minor issue with the side dish,3
The order tracking was inaccurate, arrived unexpectedly early,4
Unprofessional driver, very poor communication,1
Amazing food presentation and great flavor profile,5
The samosas were stale and the oil tasted old,1
Delivered to the wrong address, major inconvenience,1
Packaging was not secure, everything leaked out,2
The fish curry was authentic and delicious,5
They forgot my entire beverage order,2
The wait time was unacceptable, almost two hours,1
Taste was okay but the portion size was too small,3
Driver called repeatedly for directions,2
The mutton biryani was cooked to perfection,5
Found a hair in my food, totally ruined the meal,1
The estimated time was grossly inaccurate, arrived early,4
The service was quick and the meal was hot,5
The pasta was overcooked and mushy,1
Delivery person was helpful and friendly,5
The chicken was chewy and seemed undercooked,2
The food smelled bad, couldn't eat it,1
Order was cancelled last minute without explanation,1
The butter naan was soft and fresh,5
Food arrived very late but was still hot,3
The salad was wilted and not fresh at all,1
The packaging kept the soup perfectly warm,5
The flavour lacked salt and tasted bland,2
A flawless delivery experience, very impressed,5
The kebab was burnt and dry, uneatable,1
The rating system is misleading, this service is terrible,1
The food was great but the delivery was the issue,3
Super fast delivery, arrived in 15 minutes,5
The drink was warm when it should have been cold,2
Poor food quality, tasted like leftovers,1
Driver was fast but forgot to give me change,3
The soup had an odd chemical taste,1
Everything on the menu is excellent,5
The delivery app crashed, causing confusion,2
The curry was too oily, heavy on the stomach,2
They gave me the wrong vegetarian item,1
Prompt service and the food was delicious,5
The pizza base was soggy from moisture,1
The driver was courteous and found the place easily,5
The meal was exactly as described, wonderful taste,5
The food arrived upside down, big mess to clean,1
The quality control needs serious improvement,1
The rice was sticky and clumped together,2
Delivery was smooth and the driver was professional,5
The spice level was perfect, great preparation,5
The restaurant messed up my special request,2
Took way too long to receive the small order,2
The dessert was divine, a perfect ending,5
The driver ignored my do not disturb note,2
The packaging was eco-friendly and sturdy,5
The chicken pieces were gristly and tough,1
This is my go-to for quick and delicious meals,5
The meal portion was generous, felt like good value,4
The food was delivered on time but the wrong item was inside,2
Absolutely terrible customer support after the order was delayed,1
The seasoning on the fries was amazing,5
The food was barely lukewarm, very disappointing,2
The driver left the food outside in the rain,1
The parotta was flaky and fresh,5
The delivery experience was smooth,5
The taste was mediocre, nothing special,3
The container was cracked, some food leaked out,2
Great food but the delivery boy was very slow,2
The spices were overpowering, ruined the dish,1
The estimated delivery time kept increasing,1
The paneer was rubbery and flavorless,1
The driver was very apologetic for the minor delay,4
The packaging was secure and heat-sealed,5
The portion was definitely not worth the price,2
The biryani was slightly burnt at the bottom,2
The food quality is inconsistent, hit or miss,3
The courier was very fast and professional,5
The sambar was too watery, lacked flavour,2
The meal was customized perfectly, five stars,5
They included complimentary dessert, nice touch,5
The drink was spilled inside the bag, major fail,1
The driver was lost for a long time, delayed the meal,1
The burger bun was stale and dry,1
The fish was perfectly grilled, tender and juicy,5
The delivery was 10 minutes early, excellent,5
The side dish was sour, tasted fermented,1
The food was cold and the packaging was messy,1
The whole experience was seamless and enjoyable,5
The order took 45 minutes longer than promised,1
The food was still hot when it arrived,5
The vegetable curry was rich and well-made,5
Driver was very polite, deserves a bonus,5
The fries were soggy, lost their crunch,1
The restaurant needs better quality control,1
The estimated time was very accurate,5
The driver was unprofessional and rude,1
The sauce was thin and flavorless,2
The menu description was misleading,2
The noodles were dry and sticky,1
Delivery was fast and secure,5
The chicken was seasoned perfectly,5
Food was cold and late,1
The packaging was torn open,1
Taste was below average,2
Driver was polite and quick,5
Order took forever,1
Portion size was generous,4
Found a piece of plastic in the curry,1
Delivery person was lost for 20 minutes,2
Great value for the price,5
Meal arrived hot and fresh,5
The paneer was hard and chewy,2
Delivery was delayed twice,1
Food was extremely salty,1
Quick service and delicious food,5
The courier was rude on the phone,1
Everything was spilled in the bag,1
Flavor was amazing,5
Packaging was robust and sealed,5
Arrived 15 minutes early,5
The biryani was dry,2
Driver forgot the main dish,1
Portions are tiny for the cost,2
Taste of the dessert was stale,1
Delivery was fast but the food was cold,3
The sauce was excellent,5
Driver was helpful and kind,5
Food was late and cold,1
The menu descriptions are accurate,5
The food presentation was lovely,5
The driver was lost and took a long detour,2
The fish was not fresh,1
Quick and efficient service,5
Order was incorrect, received someone else's meal,1
The rice was overcooked,2
The packaging leaked everywhere,1
Good food, bad delivery time,3
The texture of the cake was perfect,5
Driver was fast and courteous,5
The seasoning was just right,5
Delivery took nearly two hours,1
The curry was watered down,2
Found a hair in the dish,1
The drink was forgotten,2
Excellent quality ingredients,5
Delivery was seamless and prompt,5
The food was delicious,5
The driver was friendly,5
The packaging was messy,2
The food was lukewarm,2
The delivery person was fast,5
The portion size was small,3
The fries were soggy,1
The driver was late,2
Great food,5
Order was wrong,1
The biryani was perfect,5
Delivery was very fast,5
The container was broken,1
The curry tasted sour,1
Driver was rude,1
Food was cold,1
Excellent packaging,5
The taste was incredible,5
Delivery took too long,2
The chicken was dry,1
The menu is diverse,5
Driver was polite,5
Order was cancelled by the driver,1
The food quality was poor,1
Arrived on time,5
The portion was satisfying,4
Taste was fantastic,5
The packaging was weak,2
The delivery was smooth,5
The noodles were sticky,1
The driver was lost,2
The soup was bland,1
Food was cold upon arrival,2
Quick service,5
The kebab was burnt,1
Driver was quick,5
The rice was undercooked,1
The quality was great,5
Delivery was delayed,2
The sauce was rich,5
Driver was courteous,5
The food was hot,5
Order was incomplete,2
The salad was fresh,5
The driver was fast,5
The burger was stale,1
The package leaked,1
Good taste,4
Slow delivery,2
The bread was soft,5
Driver was unprofessional,1
Food was average,3
Fast delivery,5
The texture was off,2
The spices were perfect,5
Driver was helpful,5
The food was excellent,5
The packaging was secure,5
Order took an hour,2
The driver was lost,1
Food was cold and late,1
The taste was terrible,1
Quick and efficient,5
The portion was huge,5
The meal was hot,5
Driver was polite,5
Food was spilled,1
The chicken was raw,1
Delivery was seamless,5
Taste was amazing,5
The packaging was robust,5
Arrived early,5
The curry was too salty,1
Driver forgot a dish,1
Portion was small,2
Food was cold despite fast delivery,3
The seasoning was great,5
Driver was very kind,5
Food was late and cold,1
The menu is simple,4
The presentation was nice,5
Driver took a very long route,2
The fish was smelly,1
Service was fast,5
Order was wrong,1
The rice was sticky,2
Packaging leaked,1
Good food, very slow delivery,3
The cake was perfect,5
Driver was fast,5
The spice level was ideal,5
Delivery was 90 minutes late,1
The soup was watery,2
Found plastic in the food,1
The side dish was missing,2
Excellent ingredients,5
Delivery was prompt,5
The food was fantastic,5
The driver was very friendly,5
The container was messy,2
Food was lukewarm,2
Delivery person was quick,5
Portion was small,3
Fries were soggy,1
Driver was late,2
Great food,5
Order was wrong,1
The biryani was perfect,5
Delivery was very fast,5
The container was broken,1
The curry tasted sour,1
Driver was rude,1
Food was cold,1
Excellent packaging,5
The taste was incredible,5
Delivery took too long,2
The chicken was dry,1
The menu is diverse,5
Driver was polite,5
Order was cancelled by the driver,1
The food quality was poor,1
Arrived on time,5
The portion was satisfying,4
Taste was fantastic,5
The packaging was weak,2
The delivery was smooth,5
The noodles were sticky,1
The driver was lost,2
The soup was bland,1
Food was cold upon arrival,2
Quick service,5
The kebab was burnt,1
Driver was quick,5
The rice was undercooked,1
The quality was great,5
Delivery was delayed,2
The sauce was rich,5
Driver was courteous,5
The food was hot,5
Order was incomplete,2
The salad was fresh,5
The driver was fast,5
The burger was stale,1
The package leaked,1
Good taste,4
Slow delivery,2
The bread was soft,5
Driver was unprofessional,1
Food was average,3
Fast delivery,5
The texture was off,2
The spices were perfect,5
Driver was helpful,5
The food was excellent,5
The packaging was secure,5
Order took an hour,2
The driver was lost,1
Food was cold and late,1
The taste was terrible,1
Quick and efficient,5
The portion was huge,5
The meal was hot,5
Driver was polite,5
Food was spilled,1
The chicken was raw,1
Delivery was seamless,5
Taste was amazing,5
The packaging was robust,5
Arrived early,5
The curry was too salty,1
Driver forgot a dish,1
Portion was small,2
Food was cold despite fast delivery,3
The seasoning was great,5
Driver was very kind,5
Food was late and cold,1
The menu is simple,4
The presentation was nice,5
Driver took a very long route,2
The fish was smelly,1
Service was fast,5
Order was wrong,1
The rice was sticky,2
Packaging leaked,1
Good food, very slow delivery,3
The cake was perfect,5
Driver was fast,5
The spice level was ideal,5
Delivery was 90 minutes late,1
The soup was watery,2
Found plastic in the food,1
The side dish was missing,2
Excellent ingredients,5
Delivery was prompt,5
The food was fantastic,5
The driver was very friendly,5
The container was messy,2
Food was lukewarm,2
Delivery person was quick,5
Portion was small,3
Fries were soggy,1
Driver was late,2
Great food,5
Order was wrong,1
The biryani was perfect,5
Delivery was very fast,5
The container was broken,1
The curry tasted sour,1
Driver was rude,1
Food was cold,1
Excellent packaging,5
The taste was incredible,5
Delivery took too long,2
The chicken was dry,1
The menu is diverse,5
Driver was polite,5
Order was cancelled by the driver,1
The food quality was poor,1
Arrived on time,5
The portion was satisfying,4
Taste was fantastic,5
The packaging was weak,2
The delivery was smooth,5
The noodles were sticky,1
The driver was lost,2
The soup was bland,1
Food was cold upon arrival,2
Quick service,5
The kebab was burnt,1
Driver was quick,5
The rice was undercooked,1
The quality was great,5
Delivery was delayed,2
The sauce was rich,5
Driver was courteous,5
The food was hot,5
Order was incomplete,2
The salad was fresh,5
The driver was fast,5
The burger was stale,1
The package leaked,1
Good taste,4
Slow delivery,2
The bread was soft,5
Driver was unprofessional,1
Food was average,3
Fast delivery,5
The texture was off,2
The spices were perfect,5
Driver was helpful,5
The food was excellent,5
The packaging was secure,5
Order took an hour,2
The driver was lost,1
Food was cold and late,1
The taste was terrible,1
Quick and efficient,5
The portion was huge,5
The meal was hot,5
Driver was polite,5
Food was spilled,1
The chicken was raw,1
Delivery was seamless,5
Taste was amazing,5
The packaging was robust,5
Arrived early,5
The curry was too salty,1
Driver forgot a dish,1
Portion was small,2
Food was cold despite fast delivery,3
The seasoning was great,5
Driver was very kind,5
Food was late and cold,1
The menu is simple,4
The presentation was nice,5
Driver took a very long route,2
The fish was smelly,1
Service was fast,5
Order was wrong,1
The rice was sticky,2
Packaging leaked,1
Good food, very slow delivery,3
The cake was perfect,5
Driver was fast,5
The spice level was ideal,5
